Movie,Code,Valence,Arousal,Dominance,MAX Characteritics (Higher is better),Valence %,Arousal %,Dominance %,Excluded? (Reason)
The Ruins,1000.0,2.79,6.43,4.92,0.5808453660478412,0.3879781420765027,0.5496688741721852,0.70625,
Texas Chainsaw Massacre: The Beginning,1001.0,2.11,6.97,4.92,0.9454456627944847,0.016393442622950713,0.9072847682119202,0.70625,
Midnight Meat Train,1002.0,2.34,7.11,5.39,0.9289617486338798,0.14207650273224032,1.0,1.0,
Hostel,1003.0,3.91,5.6,3.79,0.0,1.0,0.0,0.0,
Hostel 2,1004.0,2.61,6.29,4.16,0.5836680780226542,0.2896174863387977,0.456953642384106,0.23125000000000012,
Midnight Meat Train,1005.0,2.32,6.38,3.79,0.692704375203561,0.13114754098360643,0.5165562913907285,0.0,
Cannibal Holocaust,1006.0,2.5,6.81,4.84,0.7859081532949732,0.22950819672131142,0.8013245033112579,0.65625,
Texas Chainsaw Massacre: The Beginning,1007.0,2.08,7.0,4.71,0.9635761589403973,0.0,0.9271523178807946,0.5750000000000001,
Rest Stop,1008.0,2.34,6.0,4.05,0.5614120797597077,0.14207650273224032,0.26490066225165576,0.1624999999999999,
Midnight Meat Train,1009.0,2.21,6.51,4.5,0.7658053776281981,0.07103825136612016,0.6026490066225164,0.4437500000000001,
,,,,,,,,,
Underworld: Evolution,2000.0,6.61,5.76,3.71,0.705643879173291,0.5058823529411769,0.905405405405405,0.9080459770114941,
Playboy's Clip,2001.0,6.46,5.71,3.79,0.5836248012718601,0.32941176470588246,0.8378378378378377,1.0,No original clip
9 Songs,2002.0,7.03,5.83,3.18,1.0,1.0,1.0,0.2988505747126439,
Killing Me Softly,2003.0,6.24,5.33,2.92,0.19745627980922134,0.07058823529411819,0.3243243243243245,0.0,
Kama Sutra: the sensual art of lovemaking,2004.0,6.18,5.53,3.39,0.2972972972972975,0.0,0.594594594594595,0.5402298850574714,No original clip
Kama Sutra: the sensual art of lovemaking,2005.0,6.37,5.61,3.05,0.46311605723370464,0.2235294117647062,0.7027027027027031,0.1494252873563217,No original clip
9 Songs,2006.0,6.45,5.49,3.68,0.4290937996820353,0.3176470588235298,0.5405405405405409,0.8735632183908048,Nudity
Monamour,2007.0,6.68,5.76,3.5,0.7468203497615259,0.5882352941176467,0.905405405405405,0.6666666666666666,Nudity
Diary of a Nymphomaniac,2008.0,6.39,5.09,2.95,0.12352941176470579,0.24705882352941158,0.0,0.03448275862068994,
Diary of a Nymphomaniac,2009.0,6.34,5.73,3.24,0.5265500794912562,0.1882352941176471,0.8648648648648654,0.36781609195402326,
,,,,,,,,,
Boogeyman,3000.0,3.82,3.18,2.87,0.43027317510076124,0.9818181818181818,0.15763546798029573,0.26363636363636367,
The descent,3001.0,3.34,4.89,2.58,0.22727272727272735,0.5454545454545453,1.0,0.0,
The Pianist,3002.0,2.74,3.37,2.74,0.874384236453202,0.0,0.2512315270935962,0.14545454545454556,
Diary of a Nymphomaniac,3003.0,2.74,3.68,3.42,0.7980295566502462,0.0,0.40394088669950756,0.7636363636363634,
Mystic River,3004.0,3.03,3.42,2.89,0.7302507836990597,0.26363636363636334,0.2758620689655173,0.28181818181818186,
Boogeyman 2,3005.0,3.84,3.71,3.63,0.29064039408866993,1.0,0.4187192118226602,0.9545454545454543,
Bridge to Tehabithia,3006.0,3.13,3.95,3.26,0.5542543663233318,0.3545454545454544,0.536945812807882,0.6181818181818178,
American Beauty,3007.0,3.03,2.86,3.68,0.8681818181818184,0.26363636363636334,0.0,1.0,
American Beauty,3008.0,3.24,3.47,3.26,0.6224809673085534,0.4545454545454547,0.3004926108374386,0.6181818181818178,
Mystic River,3009.0,3.53,3.51,3.18,0.48081056874160333,0.718181818181818,0.32019704433497537,0.5454545454545455,
,,,,,,,,,
This Girls Life,4000.0,6.11,2.45,2.47,0.251968503937008,0.503937007874016,0.0,0.21904761904761907,
My Best Friend's Girl,4001.0,6.68,2.87,2.47,0.6118618237236473,0.9527559055118107,0.27096774193548384,0.21904761904761907,
Good Luck Chuck,4002.0,6.11,2.79,2.24,0.36164592329184664,0.503937007874016,0.21935483870967734,0.0,
Ruins,4003.0,6.13,2.74,2.47,0.35339090678181356,0.5196850393700787,0.18709677419354842,0.21904761904761907,
Lie With Me,4004.0,6.63,4.0,2.84,0.9566929133858266,0.9133858267716534,1.0,0.5714285714285712,
Last Chance Harvey,4005.0,6.18,3.21,3.16,0.5246888493776987,0.559055118110236,0.4903225806451612,0.8761904761904763,
Ruins,4006.0,6.47,3.13,2.87,0.613055626111252,0.7874015748031493,0.4387096774193547,0.6,
Diary of a Nymphomaniac,4007.0,6.53,2.86,3.29,0.5495808991617983,0.8346456692913387,0.2645161290322579,1.0,
Diary of a Nymphomaniac,4008.0,5.47,3.0,2.68,0.17741935483870963,0.0,0.35483870967741926,0.41904761904761906,
The Rest Stop,4009.0,6.74,3.95,3.24,0.9838709677419355,1.0,0.9677419354838711,0.9523809523809526,
,,,,,,,,,
Disney’s Earth,5000.0,6.0,2.84,2.42,0.5466001145569104,0.5206611570247933,0.3861386138613859,0.05839416058394165,
Disney’s Earth,5001.0,6.05,2.87,2.63,0.5110874723836021,0.56198347107438,0.4158415841584159,0.21167883211678834,
Disney’s Earth,5002.0,5.92,2.45,2.34,0.7727272727272728,0.4545454545454544,0.0,0.0,
Disney’s Earth,5003.0,6.58,2.65,3.63,0.4009900990099011,1.0,0.1980198019801978,0.9416058394160584,Too high
Disney’s Earth,5004.0,6.47,2.79,3.71,0.37713771377137734,0.9090909090909088,0.33663366336633654,1.0,
Disney’s Earth,5005.0,5.37,2.5,3.39,0.9752475247524753,0.0,0.04950495049504934,0.7664233576642338,Scary
Disney’s Earth,5006.0,6.26,2.76,2.55,0.47876605842402453,0.7355371900826444,0.3069306930693066,0.15328467153284667,
Disney’s Earth,5007.0,6.55,3.46,3.24,0.012396694214876158,0.9752066115702477,1.0,0.6569343065693433,Too high
Disney’s Earth,5008.0,5.82,2.63,3.13,0.7249406758857705,0.37190082644628114,0.178217821782178,0.5766423357664233,
Disney’s Earth,5009.0,6.24,2.83,3.34,0.45237705588740684,0.7190082644628101,0.37623762376237624,0.7299270072992701,
